combine_id,date,combine_score,estimated_handicap,target,target_score,shot,row_type,score,club_speed,ball_speed,spin_rate,attack_angle,carry,total,side,from_pin
,,,,yds,,,,,mph,mph,rpm,deg,yds,yds,yds(+R/-L),ft
20250402,2025-04-02,65.2,8.0,60,66.0,1,shot,57.0,69.4,62.9,10416.0,-1.8,66.5,67.4,-2.6,20.8
20250402,2025-04-02,65.2,8.0,60,66.0,2,shot,95.0,71.7,59.6,9800.0,-4.2,61.3,62.6,0.5,4.1
20250402,2025-04-02,65.2,8.0,60,66.0,3,shot,94.0,70.7,58.2,9780.0,-1.6,58.7,59.0,0.8,4.6
20250402,2025-04-02,65.2,8.0,60,66.0,4,shot,0.0,70.3,68.9,7886.0,-0.8,76.8,79.7,-6.3,53.2
20250402,2025-04-02,65.2,8.0,60,66.0,5,shot,67.0,69.4,62.2,9451.0,-2.8,65.5,66.8,-0.6,16.6
20250402,2025-04-02,65.2,8.0,60,66.0,6,shot,83.0,68.5,56.9,10249.0,-4.8,56.9,57.9,0.8,9.5
20250402,2025-04-02,65.2,8.0,60,66.0,,average,66.0,70.0,61.4,9597.0,-2.7,64.3,65.6,-1.2,18.1
20250402,2025-04-02,65.2,8.0,70,63.5,1,shot,90.0,65.4,65.6,8086.0,-2.0,71.7,76.3,-1.8,7.3
20250402,2025-04-02,65.2,8.0,70,63.5,2,shot,52.0,60.7,69.6,7612.0,-3.2,78.7,84.1,-2.2,26.9
20250402,2025-04-02,65.2,8.0,70,63.5,3,shot,54.0,59.1,66.8,6863.0,-2.8,73.4,81.4,-8.0,25.6
20250402,2025-04-02,65.2,8.0,70,63.5,4,shot,50.0,61.7,69.9,8008.0,-4.0,79.1,83.5,2.2,27.9
20250402,2025-04-02,65.2,8.0,70,63.5,5,shot,81.0,58.3,66.9,7375.0,-3.8,74.0,80.3,-0.8,12.1
20250402,2025-04-02,65.2,8.0,70,63.5,6,shot,54.0,55.3,59.8,7914.0,-3.6,61.5,67.0,-0.7,25.6
20250402,2025-04-02,65.2,8.0,70,63.5,,average,63.5,60.1,66.5,7643.0,-3.2,73.1,78.8,-1.9,20.9
20250402,2025-04-02,65.2,8.0,80,63.2,1,shot,77.0,66.7,73.4,7778.0,-2.0,85.0,90.2,-1.9,16.1
20250402,2025-04-02,65.2,8.0,80,63.2,2,shot,67.0,64.2,74.9,8506.0,-4.8,86.6,91.5,-3.0,21.7
20250402,2025-04-02,65.2,8.0,80,63.2,3,shot,77.0,58.4,67.5,7434.0,-3.8,74.8,81.3,-1.2,16.1
20250402,2025-04-02,65.2,8.0,80,63.2,4,shot,76.0,60.7,67.4,6777.0,-2.0,74.9,82.4,-2.2,16.7
20250402,2025-04-02,65.2,8.0,80,63.2,5,shot,65.0,64.0,70.1,9048.0,-4.4,78.9,81.7,7.5,22.9
20250402,2025-04-02,65.2,8.0,80,63.2,6,shot,17.0,57.8,60.1,6566.0,-1.2,63.2,69.5,0.7,50.5
20250402,2025-04-02,65.2,8.0,80,63.2,,average,63.2,62.0,68.9,7685.0,-3.0,77.2,82.8,-0.0,24.0
20250402,2025-04-02,65.2,8.0,90,69.3,1,shot,63.0,62.5,71.1,7959.0,-3.6,81.0,86.1,-0.9,27.2
20250402,2025-04-02,65.2,8.0,90,69.3,2,shot,63.0,65.2,71.2,7969.0,-3.6,81.0,86.2,-0.7,27.2
20250402,2025-04-02,65.2,8.0,90,69.3,3,shot,88.0,66.6,77.0,9288.0,-4.6,90.0,92.5,3.7,11.2
20250402,2025-04-02,65.2,8.0,90,69.3,4,shot,58.0,69.5,83.2,9343.0,-4.8,99.9,102.0,-1.9,30.2
20250402,2025-04-02,65.2,8.0,90,69.3,5,shot,59.0,64.3,72.4,8442.0,-3.4,82.9,86.1,6.7,30.0
20250402,2025-04-02,65.2,8.0,90,69.3,6,shot,85.0,64.9,74.4,7979.0,-4.4,86.7,91.0,-2.8,13.1
