session_id,date,club,shot,row_type,club_speed,ball_speed,smash,attack_angle,club_path,face_angle,face_to_path,launch_angle,launch_direction,spin_rate,spin_axis,dynamic_loft,carry,total,side,side_total,curve,height,land_angle,hang_time
,,,,,mph,mph,,deg,deg,deg,deg,deg,deg,rpm,deg,deg,yds,yds,yds(+R/-L),yds(+R/-L),yds(+R/-L),ft,deg,s
20241125,2024-11-25,8Iron,1,shot,64.1,72.4,1.13,,,,,,,7110.0,,,82.9,90.0,,,,,,
20241125,2024-11-25,8Iron,2,shot,67.1,85.6,1.28,-0.8,-0.2,,9.2,,,7040.0,,,106.3,113.5,,,9.1,,,
20241125,2024-11-25,8Iron,3,shot,,85.7,,,,,,,,6055.0,,,108.2,121.3,,,5.4,,,
20241125,2024-11-25,8Iron,4,shot,,81.2,,,,,,,,7910.0,,,98.0,102.1,,,,,,
20241125,2024-11-25,8Iron,5,shot,65.0,87.3,1.34,-0.8,-4.2,,1.6,,,5416.0,,,112.8,126.0,,,1.9,,,
20241125,2024-11-25,8Iron,6,shot,64.0,78.3,1.22,1.8,-0.2,,-2.3,,,4630.0,,,94.8,118.6,,,-2.0,,,
20241125,2024-11-25,8Iron,7,shot,64.9,81.6,1.26,-1.2,-3.8,,10.3,,,7065.0,,,99.4,108.7,,,8.8,,,
20241125,2024-11-25,8Iron,8,shot,65.9,85.2,1.29,-0.6,-2.8,,-3.2,,,5010.0,,,109.2,125.4,,,-3.3,,,
20241125,2024-11-25,8Iron,9,shot,65.0,86.3,1.33,-2.0,-4.6,,3.1,,,5950.0,,,109.7,122.1,,,3.4,,,
20241125,2024-11-25,8Iron,10,shot,68.7,82.7,1.2,-0.4,-5.2,,1.8,,,5930.0,,,103.1,116.5,,,1.8,,,
20241125,2024-11-25,8Iron,11,shot,65.7,87.5,1.33,-2.2,-6.8,,6.0,,,6093.0,,,111.6,123.1,,,6.7,,,
